City,Industry,Avg_Salary
Toronto,"Accounting, Banking & Finance",206915743.03448275
Bogota,nil,120000000
Seoul,Law,43800000
Seoul,"ESL Teacher",36000000
"Dar es Salaam","Health care",24000000
" as well as to increase chances of working together in the future. "",Entertainment,20800000
Rice,nil,10000000
Sapporo,"Computing or Tech",8640000
Tokyo,"Engineering or Manufacturing",8000000
Pinebrook,Sales,5000044
"Hong Kong","Accounting, Banking & Finance",5000000
Tokyo,"Utilities & Telecommunications",4500000
Osaka,"Education (Higher Education)",4160020.5
tokyo,"Education (Primary/Secondary)",4000000
Tokyo,"Media & Digital",3120000
Newyork,"Computing or Tech",2600000
Bengaluru,Insurance,2000000
Milwaukee,"Social networks",2000000
"Mar del Plata","Computing or Tech",1500000
germany,"Computing or Tech",1500000
Bangalore,"Computing or Tech",1200025.5
Lagos,"Health care",1200000
Oslo,"Energy / renewables",1115000
Delhi,Ipr,1000000
Taipei,Scientist,1000000
"Princeton, ON","Government and Public Administration",960000
Oslo,"Utilities & Telecommunications",955000
Oslo,"Media & Digital",950000
"Indianapolis ",Law,925000
"Bah? Blanca, Buenos Aires, province Argentina",Nonprofits,804000
Songkhla,"Health care",800000
Taipei,"Marketing, Advertising & PR",780000
Billund,Nonprofits,760000
NA,"Accounting, Banking & Finance",732500
"Brisbane, Queensland",Environment,730000
"Stockholm ","Transport or Logistics",642000
"A small city","Education (Primary/Secondary)",640000
Stockholm,Entertainment,576000
Mumbai,"Computing or Tech",566916.6666666666
copenhagen,Law,550000
"Foster City","Computing or Tech",520000
"Cleveland ","Computing or Tech",510000
Monterrey,"Engineering or Manufacturing",504000
Uppsala,"Computing or Tech",503000
"Cleveland ",Sales,480000
Leeds,"Education (Primary/Secondary)",440000
Bangkok,"Engineering or Manufacturing",424823
"Pietermaritzburg ","Engineering or Manufacturing",400000
"Stockholm ","Government and Public Administration",355200
"Baltimore ","Education (Primary/Secondary)",353200
"Santa Clara","Art & Design",350913
"Washington D.C.",Law,350000
"Mobile ","Computing or Tech",350000
Bangalore,"Business or Consulting",340003
DC,"Health care",334424.75
Canberra,"Computing or Tech",333460
Gothenburg,"Transport or Logistics",330000
Stockholm,"Education (Higher Education)",329738
Copenhagen,"Government and Public Administration",325000
Largo,"Property or Construction",323000
Gothenburg,"Social Work",302940
Tokyo,Law,300000
Kochi,"Accounting, Banking & Finance",300000
"Stockholm ","Engineering or Manufacturing",288159
SLC,Law,288036
"Morro Bay","Corporate Training",280000
"NYC ",nil,275000
"Cincinnati ","Media & Digital",260000
"Washington DC","Labor Union",254000
Westchester,Law,251000
Geneva,"Multilateral Organisation ",250000
"Toronto Ontario",Nonprofits,250000
QLD,"Health care",250000
"Sacramento ","Government Affairs/Lobbying",250000
Cupertino,"Art & Design",250000
"Salt Lake",Consulting,250000
Jos,"Computing or Tech",250000
"Silicon Valley","Computing or Tech",240000
"Full remote position","Computing or Tech",235000
"Truckee, CA","Computing or Tech",235000
Alexandria,"Business or Consulting",234812
"Mexico City",Translation,230000
Atlanta,Entertainment,228545
Cambridge,Pharmaceutical/biotechnology,227500
Charlottesville,Veterinary,227000
"San Francisco","Biotech/pharmaceuticals ",227000
"Cambridge ",Law,225000
"San Francisco ","Recruitment or HR",220000
"Atlanta ","Medical/Pharmaceutical ",220000
"Houston ",Petroleum,220000
D.C.,"Computing or Tech",220000
"Washington DC suburbs","Business or Consulting",220000
Remote,Pharma,219500
Stockholm,"Government and Public Administration",219029.5
Phoenix,Sales,215000
"Minneapolis ","Media & Digital",215000
"Miami ","Marketing, Advertising & PR",215000
Barcelona,Entertainment,214000
Seattle,Pharmaceuticals,210000
"ho chi Minh ","Education (Higher Education)",210000
Richmond,Pharma,210000
"Perth, Western Australia","Engineering or Manufacturing",208000
Nashua,"Hospitality & Events",208000
"Redondo beach","Engineering or Manufacturing",200000
"St Loui","Computing or Tech",200000
Remote,Energy,200000
"San Antonio ",Law,200000
Ashland,"Computing or Tech",200000
Malvern,"Accounting, Banking & Finance",200000
Brisbane,"Mining and natural resources",200000
"Central Valley/Bay Area","Health care",200000
"Sunnyvale ","Computing or Tech",200000
Hambrug,"Marketing, Advertising & PR",200000
SA,Nonprofits,198000
"New York Metro ","Accounting, Banking & Finance",195000
"Saint Helena","Computing or Tech",195000
Lund,"Education (Higher Education)",192884.5
"Stockton, NJ","Computing or Tech",192000
"San Luis Obispo","Computing or Tech",190000
"Eden Prairie ","Pharmaceutical company ",188000
Mettawa,Pharmaceuticals,187000
"West Hollywood","Computing or Tech",187000
"Evanston ","Health care",185000
"New York, NY","Computing or Tech",185000
"Herndon, Virginia ","Computing or Tech",185000
"Tualatin ","Health care",185000
Rockville,Retail,185000
"Los Angeles ","Pharma/ Research",185000
"Sydney ","Health care",185000
Livermore,"Transport or Logistics",181000
"Outside Boston","Business or Consulting",180000
Cambridge,"Pharma research",180000
Merrimack,Law,180000
"Albany ","Computing or Tech",180000
Warsaw,"Accounting, Banking & Finance",180000
"Orange County ",Law,180000
Wellington,"Business or Consulting",180000
Jerusalem,Nonprofits,180000
Springfield,Insurance,180000
"Mountain View California","Computing or Tech",180000
"Cincinnati, Ohio",Insurance,180000
"Northbrook ","Recruitment or HR",180000
"West Chester","Health care",180000
Midland,"Government and Public Administration",180000
"San Francisco",Technology,178000
"Denver metro","Computing or Tech",176000
Louisville,Bitech,175000
Hayward,"Health care",175000
"Laguna hills ","Engineering or Manufacturing",175000
Denton,"Art & Design",175000
Boston,"Research Scientist, Pharma",175000
"Bridgewater ","Health care",175000
"Syracuse ","Engineering or Manufacturing",175000
Poughkeepsie,"Health care",175000
Manassas,"Health care",175000
"Sacramento ","Health care",175000
Seattle,"Pharmaceutical Development",174000
"Long Island, NY",Libraries,172500
Singapore,"Leisure, Sport & Tourism",172000
Auckland,"Transport or Logistics",171000
Boston,"Renewable Energy Development",170000
"Valparaiso ","Accounting, Banking & Finance",170000
Cupertino,"Media & Digital",170000
"Santa Clara","Business or Consulting",170000
Lakeland,"Computing or Tech",170000
"Wilmington ","Computing or Tech",169000
"Southern CA","Engineering or Manufacturing",168000
"Menlo Park","Computing or Tech",167791.25
"Oak Ridge","Engineering or Manufacturing",167500
"San Francisco ","Business or Consulting",167000
Norwalk,"Computing or Tech",166700
LA,Entertainment,165000
Pittaburgh,"Engineering or Manufacturing",165000
"Boca Raton","Computing or Tech",165000
"Wilmington ","Agriculture or Forestry",165000
"Full time remote employee, pre-pandemic","Business or Consulting",165000
Weymouth,"Accounting, Banking & Finance",165000
Fairbury,"Accounting, Banking & Finance",165000
"East Hanover","Pharma R&D",165000
Richland,"Utilities & Telecommunications",165000
"Miami area","Computing or Tech",163000
Cambridge,"Research and Development",162500
Cotati,"Computing or Tech",162319
Bradenton,"Computing or Tech",160000
"Auckland ",Law,160000
Orlando,Sales,160000
"Santa Cruz","Utilities & Telecommunications",160000
Cedarville,"Computing or Tech",160000
Rochester,"Consumer Packaged Goods",160000
"San Francisco","Pharmaceuticals / Biotech",160000
Calgary,"Oil & Gas",160000
Hackensack,"Business or Consulting",160000
"West palm beach ",Law,160000
